ID	Concept_ID	Class	English	French	MSA	Dialect	Example	En_lemma_POS	Fr_lemma_POS	MSA_lemma_POS	CODA	Tokenization	CAPHI	Release Status	Release Note
5	1	OpenClass	number	numéro	رَقْم	JED		number_NOUN	numéro_NOUN	raqom_NOUN , Eadad_NOUN	رقم	r a g a m	READY	
6	1	OpenClass	number	numéro	رَقْم	RIY		number_NOUN	numéro_NOUN	raqom_NOUN , Eadad_NOUN	رقم	r a g a m	READY	
40	1	OpenClass	number	numéro	عَدَد	JED		number_NOUN	numéro_NOUN	raqom_NOUN , Eadad_NOUN	عدد a d a d	READY	
45	1	OpenClass	number	numéro	عَدَد	RIY		number_NOUN	numéro_NOUN	raqom_NOUN , Eadad_NOUN	عدد a d a d	READY	
96	2	OpenClass	hotel	hôtel	فُنْدُق	JED		hotel_NOUN	hôtel_NOUN	funoduq_NOUN	فندق	فندق	f u n d u g	READY	
97	2	OpenClass	hotel	hôtel	فُنْدُق	RIY		hotel_NOUN	hôtel_NOUN	funoduq_NOUN	فندق	فندق	f u n d u g	READY	
140	3	OpenClass	train	train	قِطار	JED		train_NOUN	train_NOUN	qiTAr_NOUN	قطار	قطار	g i t. aa r	READY	
141	3	OpenClass	train	train	قِطار	RIY		train_NOUN	train_NOUN	qiTAr_NOUN	قطار	قطار	g i t. aa r	READY	
188	5	OpenClass	restaurant	restaurant	مَطْعَم	JED		restaurant_NOUN	restaurant_NOUN	maToEam_NOUN	مطعم	مطعم	m a t. 3 a m	READY	
193	5	OpenClass	restaurant	restaurant	مَطْعَم	RIY		restaurant_NOUN	restaurant_NOUN	maToEam_NOUN	مطعم	مطعم	m a t. 3 a m	READY	
223	7	OpenClass	name	nom	ٱِسْم	JED		name_NOUN	nom_NOUN	Lisom_NOUN	اسم	2 i s m	READY	
226	7	OpenClass	name	nom	ٱِسْم	RIY		name_NOUN	nom_NOUN	Lisom_NOUN	اسم	2 i s m	READY	
247	8	OpenClass	water	eau	ماء	JED		water_NOUN	eau_NOUN	mAC_NOUN	موية	موية	m. oo y a	READY	
249	8	OpenClass	water	eau	ماء	RIY		water_NOUN	eau_NOUN	mAC_NOUN	موية	موية	m. oo y a	READY	
323	11	OpenClass	week	semaine	أُسْبُوع	JED		week_NOUN	semaine_NOUN	OusobuwE_NOUN	اسبوع	اسبوع	2 u s b uu 3	READY	
326	11	OpenClass	week	semaine	أُسْبُوع	RIY		week_NOUN	semaine_NOUN	OusobuwE_NOUN	اسبوع	اسبوع	2 u s b uu 3	READY	
363	12	OpenClass	insurance	assurance	تَأْمِين	JED		insurance_NOUN	assurance_NOUN	taOomiyn_NOUN	تأمين	تأمين	t a 2 m ii n	READY	
368	12	OpenClass	insurance	assurance	تَأْمِين	RIY		insurance_NOUN	assurance_NOUN	taOomiyn_NOUN	تأمين	تأمين	t a 2 m ii n	READY	
389	12	OpenClass	insurance	assurance	ضمان	JED		insurance_NOUN	assurance_NOUN	taOomiyn_NOUN	ضمان	ضمان	d. a m aa n	READY	
393	12	OpenClass	insurance	assurance	ضمان	RIY		insurance_NOUN	assurance_NOUN	taOomiyn_NOUN	ضمان	ضمان	d. a m aa n	READY	
425	13	OpenClass	month	mois	شَهْر	JED		month_NOUN	mois_NOUN	cahor_NOUN	شهر	شهر	sh a h r	READY	
428	13	OpenClass	month	mois	شَهْر	RIY		month_NOUN	mois_NOUN	cahor_NOUN	شهر	شهر	sh a h r	READY	
446	14	OpenClass	red	rouge	أَحْمَر	JED		red_ADJ	rouge_ADJ	OaHomar_ADJ	احمر	احمر	2 a 7 m a r	READY	
451	14	OpenClass	red	rouge	أَحْمَر	RIY		red_ADJ	rouge_ADJ	OaHomar_ADJ	احمر	احمر	2 a 7 m a r	READY		
548	16	OpenClass	possible	possible	مُمْكِن	JED		possible_ADJ	possible_ADJ	mumokin_ADJ	ممكن	ممكن	m u m k i n	READY	
553	16	OpenClass	possible	possible	مُمْكِن	RIY		possible_ADJ	possible_ADJ	mumokin_ADJ	ممكن	ممكن	m u m k i n	READY	
574	16	OpenClass	possible	possible	مُمْكِن	JED		possible_ADJ	possible_ADJ	mumokin_ADJ	يمكن	يمكن	y i m k i n	READY	
576	16	OpenClass	possible	possible	مُمْكِن	RIY		possible_ADJ	possible_ADJ	mumokin_ADJ	يمكن	يمكن	y i m k i n	READY	
593	19	OpenClass	museum	musée	مَتْحَف	JED		museum_NOUN	musée_NOUN	matoHaf_NOUN	متحف	متحف	m a t 7 a f	READY	
597	19	OpenClass	museum	musée	مَتْحَف	RIY		museum_NOUN	musée_NOUN	matoHaf_NOUN	متحف	متحف	m a t 7 a f	READY	
623	20	OpenClass	door	porte	باب	JED		door_NOUN	porte_NOUN	bAb_NOUN	باب	باب	b aa b	READY	
629	20	OpenClass	door	porte	باب	RIY		door_NOUN	porte_NOUN	bAb_NOUN	باب	باب	b aa b	READY	
669	21	OpenClass	tea	thé	شاي	JED		tea_NOUN	thé_NOUN	cAy_NOUN	شاي	شاي	sh aa y	CHECK	Foreign
674	21	OpenClass	tea	thé	شاي	RIY		tea_NOUN	thé_NOUN	cAy_NOUN	شاي	شاي	sh aa y	CHECK	Foreign
686	22	OpenClass	white	blanc	أَبْيَض	JED		white_ADJ	blanc_ADJ	OaboyaD_ADJ	ابيض	ابيض	2 a b y a d.	READY	
698	22	OpenClass	white	blanc	أَبْيَض	RIY		white_ADJ	blanc_ADJ	OaboyaD_ADJ	ابيض	ابيض	2 a b y a dh.	READY	
744	23	OpenClass	stamp	timbre	طابِع	JED		stamp_NOUN	timbre_NOUN	TAbiE_NOUN	طابع	طابع	t. aa b i 3	READY	
747	23	OpenClass	stamp	timbre	طابِع	RIY		stamp_NOUN	timbre_NOUN	TAbiE_NOUN	طابع	طابع	t. aa b i 3	READY	
782	24	OpenClass	hospital	hôpital	مُسْتَشْفَى	JED		hospital_NOUN	hôpital_NOUN	musotacofaY_NOUN	مستشفى	مستشفى	m u s t a sh f a	READY	
785	24	OpenClass	hospital	hôpital	مُسْتَشْفَى	RIY		hospital_NOUN	hôpital_NOUN	musotacofaY_NOUN	مستشفى	مستشفى	m u s t a sh f a	READY	
804	26	OpenClass	watch	montre	ساعَة	JED		watch_NOUN	montre_NOUN	sAEap_NOUN	ساعة	ساعة	s aa 3 a	READY	
810	26	OpenClass	watch	montre	ساعَة	RIY		watch_NOUN	montre_NOUN	sAEap_NOUN	ساعة	ساعة	s aa 3 a	READY	
818	26	OpenClass	watch	montre	ساعَة	JED		watch_NOUN	montre_NOUN	sAEap_NOUN	ساعة ايد	ساعة ايد	s aa 3 a t # 2 ii d	READY	
